age,height_cm,weight_kg,bmi,fitness_goal
35,178,76.6,24.17,Maintain
29,180,83.7,25.82,Weight Loss
24,190,104.0,28.8,Weight Loss
28,155,71.7,29.83,Weight Loss
35,156,46.4,19.08,Maintain
21,168,59.0,20.9,Maintain
32,154,46.1,19.43,Maintain
23,164,46.1,17.14,Muscle Gain
31,169,49.4,17.28,Muscle Gain
19,190,59.7,16.55,Muscle Gain
18,157,71.9,29.15,Weight Loss
18,181,90.3,27.56,Weight Loss
29,184,91.8,27.12,Weight Loss
60,189,68.9,19.3,Maintain
42,165,47.8,17.57,Muscle Gain
38,182,101.4,30.61,Weight Loss
43,152,59.9,25.93,Weight Loss
36,189,106.2,29.73,Weight Loss
41,170,60.3,20.88,Maintain
58,158,79.2,31.74,Weight Loss
50,153,42.7,18.23,Muscle Gain
45,177,56.4,18.0,Muscle Gain
19,161,59.0,22.75,Maintain
32,169,72.9,25.54,Weight Loss
39,178,76.3,24.09,Maintain
59,173,82.2,27.48,Weight Loss
37,186,103.1,29.81,Weight Loss
28,153,42.0,17.93,Muscle Gain
43,171,72.5,24.79,Maintain
43,161,69.4,26.76,Weight Loss
52,176,49.8,16.08,Muscle Gain
21,164,46.0,17.12,Muscle Gain
41,164,43.2,16.08,Muscle Gain
39,177,72.9,23.27,Maintain
37,180,62.8,19.37,Maintain
40,165,46.6,17.1,Muscle Gain
20,180,58.9,18.17,Muscle Gain
21,158,40.6,16.27,Muscle Gain
19,180,55.0,16.97,Muscle Gain
32,156,39.8,16.36,Muscle Gain
57,170,71.4,24.72,Maintain
22,186,84.6,24.46,Maintain
29,178,51.1,16.13,Muscle Gain
29,153,73.8,31.53,Weight Loss
35,156,40.9,16.81,Muscle Gain
53,179,64.7,20.18,Maintain
52,179,92.0,28.7,Weight Loss
53,172,48.6,16.42,Muscle Gain
31,166,47.4,17.2,Muscle Gain
19,159,70.0,27.68,Weight Loss
21,165,43.7,16.04,Muscle Gain
19,168,45.5,16.12,Muscle Gain
49,178,87.4,27.58,Weight Loss
57,188,61.9,17.5,Muscle Gain
30,180,66.2,20.43,Maintain
21,180,87.3,26.95,Weight Loss
47,169,75.5,26.42,Weight Loss
19,179,52.8,16.49,Muscle Gain
49,184,97.8,28.88,Weight Loss
56,183,58.3,17.4,Muscle Gain
37,155,41.5,17.29,Muscle Gain
25,182,64.6,19.51,Maintain
44,173,79.3,26.48,Weight Loss
58,151,38.1,16.73,Muscle Gain
29,186,83.5,24.15,Maintain
48,180,89.3,27.56,Weight Loss
54,151,69.4,30.44,Weight Loss
45,156,56.1,23.04,Maintain
39,167,48.4,17.37,Muscle Gain
31,163,59.8,22.49,Maintain
43,172,73.0,24.68,Maintain
23,187,109.7,31.36,Weight Loss
51,158,42.9,17.18,Muscle Gain
26,171,81.2,27.77,Weight Loss
29,173,86.3,28.84,Weight Loss
30,158,42.6,17.08,Muscle Gain
31,182,57.2,17.28,Muscle Gain
31,169,80.4,28.14,Weight Loss
33,190,65.7,18.21,Muscle Gain
26,155,43.6,18.15,Muscle Gain
26,172,48.0,16.22,Muscle Gain
31,186,102.4,29.59,Weight Loss
58,151,38.5,16.89,Muscle Gain
54,154,40.9,17.26,Muscle Gain
33,185,91.4,26.71,Weight Loss
57,172,67.6,22.85,Maintain
44,155,71.5,29.77,Weight Loss
48,165,45.5,16.7,Muscle Gain
57,159,40.9,16.17,Muscle Gain
22,163,57.6,21.68,Maintain
49,179,51.5,16.06,Muscle Gain
60,185,91.5,26.73,Weight Loss
28,169,88.0,30.8,Weight Loss
18,183,68.0,20.3,Maintain
45,164,65.8,24.46,Maintain
34,181,53.2,16.23,Muscle Gain
31,167,46.6,16.72,Muscle Gain
56,167,57.7,20.68,Maintain
56,174,88.9,29.35,Weight Loss
44,162,56.3,21.44,Maintain
54,187,83.3,23.82,Maintain
44,189,64.2,17.96,Muscle Gain
41,152,54.1,23.43,Maintain
21,152,54.0,23.39,Maintain
27,188,57.2,16.17,Muscle Gain
55,158,43.8,17.55,Muscle Gain
27,160,65.7,25.66,Weight Loss
24,152,57.9,25.07,Weight Loss
47,165,45.2,16.62,Muscle Gain
60,166,44.8,16.24,Muscle Gain
24,186,63.4,18.32,Muscle Gain
52,155,41.8,17.38,Muscle Gain
38,189,82.8,23.19,Maintain
19,176,59.0,19.04,Maintain
33,160,55.0,21.5,Maintain
40,182,56.1,16.93,Muscle Gain
51,186,59.5,17.19,Muscle Gain
21,181,54.1,16.5,Muscle Gain
43,183,94.5,28.23,Weight Loss
24,189,59.3,16.59,Muscle Gain
53,181,76.0,23.19,Maintain
21,151,51.7,22.69,Maintain
41,168,84.0,29.75,Weight Loss
57,178,56.8,17.93,Muscle Gain
23,164,51.9,19.3,Maintain
49,188,82.1,23.23,Maintain
59,190,68.7,19.04,Maintain
27,163,55.3,20.8,Maintain
46,156,61.1,25.09,Weight Loss
53,155,50.4,20.98,Maintain
44,175,75.4,24.63,Maintain
31,166,66.1,23.98,Maintain
53,163,76.1,28.65,Weight Loss
41,186,96.1,27.77,Weight Loss
30,157,41.0,16.65,Muscle Gain
47,151,40.7,17.84,Muscle Gain
38,171,48.0,16.4,Muscle Gain
52,185,99.2,28.98,Weight Loss
24,167,49.8,17.87,Muscle Gain
18,161,73.3,28.29,Weight Loss
45,179,92.4,28.84,Weight Loss
30,184,59.3,17.53,Muscle Gain
39,163,79.8,30.05,Weight Loss
51,164,67.4,25.07,Weight Loss
22,190,88.5,24.52,Maintain
49,179,83.2,25.98,Weight Loss
24,188,64.7,18.31,Muscle Gain
54,172,69.8,23.59,Maintain
31,185,90.5,26.45,Weight Loss
37,173,60.5,20.2,Maintain
35,188,63.6,17.99,Muscle Gain
18,183,95.3,28.45,Weight Loss
39,170,64.7,22.4,Maintain
43,159,48.8,19.32,Maintain
60,153,39.2,16.73,Muscle Gain
50,178,86.6,27.34,Weight Loss
41,184,86.6,25.59,Weight Loss
40,157,41.5,16.82,Muscle Gain
21,162,42.3,16.11,Muscle Gain
60,154,41.7,17.6,Muscle Gain
40,163,47.1,17.72,Muscle Gain
36,177,53.1,16.95,Muscle Gain
57,184,59.6,17.61,Muscle Gain
54,152,41.3,17.86,Muscle Gain
45,162,47.7,18.16,Muscle Gain
31,177,56.4,18.01,Muscle Gain
59,189,59.1,16.55,Muscle Gain
43,181,60.2,18.37,Muscle Gain
46,151,39.5,17.31,Muscle Gain
50,174,63.7,21.04,Maintain
31,171,93.2,31.89,Weight Loss
25,182,63.7,19.24,Maintain
57,167,80.5,28.86,Weight Loss
32,171,75.2,25.72,Weight Loss
28,176,88.2,28.47,Weight Loss
54,170,51.5,17.81,Muscle Gain
31,150,41.9,18.6,Maintain
22,175,55.1,17.98,Muscle Gain
28,165,59.6,21.91,Maintain
48,180,74.3,22.92,Maintain
45,167,47.5,17.02,Muscle Gain
20,173,69.8,23.31,Maintain
56,154,43.4,18.28,Muscle Gain
54,182,84.0,25.35,Weight Loss
57,155,43.5,18.09,Muscle Gain
49,161,43.5,16.77,Muscle Gain
50,165,86.1,31.62,Weight Loss
49,189,110.1,30.82,Weight Loss
40,170,71.4,24.69,Maintain
31,170,60.5,20.94,Maintain
23,179,77.9,24.3,Maintain
43,186,56.3,16.28,Muscle Gain
54,179,59.3,18.5,Maintain
59,180,82.0,25.3,Weight Loss
46,152,62.0,26.82,Weight Loss
58,184,57.2,16.9,Muscle Gain
44,181,104.1,31.79,Weight Loss
58,174,53.7,17.73,Muscle Gain
37,190,99.5,27.57,Weight Loss
22,174,69.8,23.04,Maintain
43,172,63.3,21.41,Maintain
54,165,86.8,31.9,Weight Loss
49,178,65.4,20.65,Maintain
36,151,36.9,16.18,Muscle Gain
30,152,45.6,19.75,Maintain
43,162,77.6,29.55,Weight Loss
46,167,56.8,20.35,Maintain
56,189,67.8,18.99,Maintain
27,186,61.2,17.69,Muscle Gain
44,184,85.9,25.37,Weight Loss
23,186,57.6,16.64,Muscle Gain
36,153,37.5,16.03,Muscle Gain
35,161,61.4,23.67,Maintain
55,157,44.4,18.01,Muscle Gain
36,175,86.4,28.2,Weight Loss
29,162,66.8,25.44,Weight Loss
54,165,77.6,28.5,Weight Loss
56,156,41.0,16.83,Muscle Gain
25,180,94.9,29.28,Weight Loss
41,161,82.6,31.85,Weight Loss
44,187,73.3,20.95,Maintain
28,158,48.0,19.24,Maintain
56,188,79.9,22.6,Maintain
53,174,71.0,23.44,Maintain
28,174,92.3,30.49,Weight Loss
43,154,49.3,20.79,Maintain
22,181,93.5,28.55,Weight Loss
49,161,59.9,23.12,Maintain
36,156,73.6,30.23,Weight Loss
59,150,53.2,23.63,Maintain
56,172,50.4,17.05,Muscle Gain
33,150,61.9,27.5,Weight Loss
26,169,67.7,23.71,Maintain
57,159,76.1,30.1,Weight Loss
38,178,59.7,18.84,Maintain
37,178,100.4,31.69,Weight Loss
47,190,89.0,24.65,Maintain
29,162,74.1,28.24,Weight Loss
36,183,74.8,22.33,Maintain
41,190,60.7,16.82,Muscle Gain
46,171,66.5,22.74,Maintain
20,160,50.3,19.66,Maintain
46,173,84.5,28.23,Weight Loss
47,190,58.5,16.2,Muscle Gain
50,157,50.6,20.52,Maintain
30,186,55.4,16.02,Muscle Gain
20,182,105.7,31.92,Weight Loss
50,177,50.9,16.24,Muscle Gain
41,178,58.6,18.51,Maintain
35,159,71.1,28.12,Weight Loss
43,161,45.3,17.49,Muscle Gain
39,186,60.7,17.55,Muscle Gain
19,164,45.9,17.05,Muscle Gain
51,153,59.1,25.24,Weight Loss
30,186,55.5,16.03,Muscle Gain
43,168,79.2,28.06,Weight Loss
47,169,51.7,18.11,Muscle Gain
36,155,49.2,20.46,Maintain
44,184,67.7,20.0,Maintain
19,157,50.0,20.3,Maintain
32,188,107.6,30.44,Weight Loss
51,179,72.5,22.64,Maintain
34,152,38.2,16.52,Muscle Gain
25,180,56.0,17.29,Muscle Gain
28,154,44.6,18.82,Maintain
18,178,61.6,19.44,Maintain
60,167,73.0,26.18,Weight Loss
45,167,78.3,28.09,Weight Loss
26,186,102.8,29.72,Weight Loss
40,154,64.2,27.05,Weight Loss
44,169,73.1,25.61,Weight Loss
42,161,58.3,22.49,Maintain
30,179,72.4,22.61,Maintain
23,150,36.1,16.06,Muscle Gain
41,156,40.9,16.82,Muscle Gain
28,188,90.1,25.49,Weight Loss
43,183,54.1,16.16,Muscle Gain
34,166,59.2,21.49,Maintain
57,189,71.5,20.02,Maintain
57,165,71.3,26.19,Weight Loss
58,176,54.2,17.5,Muscle Gain
34,159,40.5,16.03,Muscle Gain
40,188,62.8,17.77,Muscle Gain
24,189,89.9,25.18,Weight Loss
48,170,85.7,29.65,Weight Loss
33,167,76.1,27.28,Weight Loss
42,175,92.7,30.26,Weight Loss
60,180,82.1,25.33,Weight Loss
24,179,55.8,17.42,Muscle Gain
21,172,70.9,23.95,Maintain
41,179,54.7,17.07,Muscle Gain
50,158,76.4,30.6,Weight Loss
22,155,46.1,19.2,Maintain
60,184,77.3,22.82,Maintain
33,154,40.9,17.24,Muscle Gain
21,166,87.8,31.88,Weight Loss
45,173,65.5,21.87,Maintain
25,178,50.9,16.05,Muscle Gain
48,157,55.1,22.34,Maintain
35,165,52.2,19.16,Maintain
24,180,77.2,23.82,Maintain
56,174,50.4,16.65,Muscle Gain
33,163,47.2,17.76,Muscle Gain
36,155,53.9,22.42,Maintain
39,174,51.3,16.96,Muscle Gain
46,150,38.7,17.22,Muscle Gain
48,161,52.8,20.38,Maintain
29,176,53.3,17.21,Muscle Gain
37,154,52.6,22.17,Maintain
22,162,44.3,16.87,Muscle Gain
19,156,44.3,18.22,Muscle Gain
31,164,80.9,30.08,Weight Loss
58,171,51.9,17.76,Muscle Gain
27,180,56.0,17.28,Muscle Gain
30,156,58.7,24.13,Maintain
28,159,48.7,19.25,Maintain
43,171,48.3,16.53,Muscle Gain
54,173,72.4,24.2,Maintain
43,163,46.2,17.4,Muscle Gain
55,158,51.1,20.47,Maintain
18,185,74.9,21.88,Maintain
41,163,48.2,18.14,Muscle Gain
53,179,55.2,17.23,Muscle Gain
59,157,59.7,24.24,Maintain
44,176,72.0,23.23,Maintain
19,154,41.2,17.39,Muscle Gain
22,165,78.7,28.89,Weight Loss
37,184,79.8,23.56,Maintain
39,163,47.7,17.97,Muscle Gain
36,177,64.3,20.51,Maintain
55,175,69.3,22.63,Maintain
53,167,57.7,20.7,Maintain
28,156,44.7,18.36,Muscle Gain
29,154,47.4,20.0,Maintain
22,168,85.4,30.25,Weight Loss
31,179,52.5,16.39,Muscle Gain
42,172,66.2,22.38,Maintain
52,190,58.2,16.13,Muscle Gain
54,160,44.7,17.47,Muscle Gain
59,178,89.4,28.22,Weight Loss
45,172,54.1,18.3,Muscle Gain
19,167,49.9,17.9,Muscle Gain
60,186,56.7,16.39,Muscle Gain
20,169,74.0,25.9,Weight Loss
45,164,53.8,20.02,Maintain
46,167,48.2,17.3,Muscle Gain
26,168,52.7,18.66,Maintain
24,177,65.6,20.95,Maintain
53,189,106.1,29.69,Weight Loss
59,150,39.8,17.67,Muscle Gain
48,160,67.3,26.29,Weight Loss
30,157,44.6,18.11,Muscle Gain
35,172,94.4,31.9,Weight Loss
50,152,38.4,16.64,Muscle Gain
46,171,92.1,31.49,Weight Loss
46,178,99.0,31.24,Weight Loss
21,164,55.1,20.47,Maintain
53,184,73.7,21.76,Maintain
35,177,54.0,17.24,Muscle Gain
34,182,57.9,17.48,Muscle Gain
24,173,49.6,16.56,Muscle Gain
32,170,81.8,28.31,Weight Loss
24,157,55.3,22.43,Maintain
55,180,80.3,24.79,Maintain
54,178,87.9,27.73,Weight Loss
43,163,62.9,23.68,Maintain
53,167,48.5,17.39,Muscle Gain
56,173,51.0,17.03,Muscle Gain
39,156,57.2,23.51,Maintain
28,188,97.6,27.62,Weight Loss
25,170,66.1,22.86,Maintain
19,187,72.7,20.78,Maintain
58,185,75.4,22.04,Maintain
41,181,53.2,16.23,Muscle Gain
41,182,61.8,18.67,Maintain
31,170,49.5,17.13,Muscle Gain
35,168,78.9,27.97,Weight Loss
33,169,46.0,16.09,Muscle Gain
30,154,65.4,27.57,Weight Loss
21,171,88.0,30.11,Weight Loss
36,164,64.8,24.08,Maintain
60,166,74.0,26.84,Weight Loss
27,179,87.1,27.19,Weight Loss
53,160,42.0,16.4,Muscle Gain
42,156,57.1,23.45,Maintain
21,163,56.7,21.34,Maintain
51,183,59.6,17.79,Muscle Gain
22,190,63.5,17.58,Muscle Gain
21,167,49.8,17.85,Muscle Gain
45,178,95.3,30.07,Weight Loss
36,186,62.8,18.16,Muscle Gain
37,174,75.3,24.87,Maintain
41,176,52.2,16.86,Muscle Gain
37,169,47.6,16.68,Muscle Gain
44,153,64.6,27.59,Weight Loss
47,168,83.5,29.59,Weight Loss
31,169,67.7,23.69,Maintain
33,181,72.1,22.01,Maintain
32,152,38.4,16.61,Muscle Gain
42,174,95.5,31.53,Weight Loss
38,179,75.0,23.41,Maintain
23,157,53.4,21.65,Maintain
34,166,84.4,30.64,Weight Loss
19,152,38.0,16.43,Muscle Gain
53,162,80.1,30.53,Weight Loss
47,167,47.7,17.11,Muscle Gain
19,187,105.2,30.09,Weight Loss
50,190,65.6,18.16,Muscle Gain
39,183,54.8,16.35,Muscle Gain
53,155,75.2,31.31,Weight Loss
23,161,66.9,25.82,Weight Loss
40,180,59.3,18.3,Muscle Gain
32,189,85.1,23.81,Maintain
47,150,39.7,17.63,Muscle Gain
43,173,62.6,20.9,Maintain
24,186,98.7,28.54,Weight Loss
42,189,60.9,17.05,Muscle Gain
57,163,47.6,17.93,Muscle Gain
30,178,77.6,24.49,Maintain
37,166,69.8,25.32,Weight Loss
20,186,74.7,21.59,Maintain
55,187,71.5,20.46,Maintain
29,153,38.9,16.62,Muscle Gain
25,189,65.5,18.34,Muscle Gain
30,173,53.2,17.79,Muscle Gain
57,179,96.6,30.16,Weight Loss
54,180,53.7,16.58,Muscle Gain
19,183,55.9,16.69,Muscle Gain
24,187,94.6,27.04,Weight Loss
59,160,62.6,24.44,Maintain
31,179,75.7,23.64,Maintain
27,188,79.3,22.45,Maintain
50,181,64.4,19.67,Maintain
32,170,76.3,26.4,Weight Loss
51,183,56.3,16.82,Muscle Gain
40,184,87.4,25.82,Weight Loss
38,171,71.9,24.59,Maintain
21,185,74.1,21.64,Maintain
26,161,49.2,19.0,Maintain
28,151,48.5,21.29,Maintain
33,168,57.2,20.27,Maintain
28,168,76.1,26.95,Weight Loss
49,170,63.6,21.99,Maintain
41,165,47.4,17.42,Muscle Gain
47,178,68.9,21.75,Maintain
22,168,56.5,20.01,Maintain
18,155,38.5,16.02,Muscle Gain
39,172,61.2,20.67,Maintain
22,174,59.0,19.49,Maintain
53,153,55.4,23.68,Maintain
42,166,71.0,25.76,Weight Loss
27,173,53.5,17.86,Muscle Gain
57,188,104.6,29.6,Weight Loss
32,184,68.6,20.27,Maintain
48,161,73.9,28.51,Weight Loss
28,187,99.7,28.5,Weight Loss
46,169,67.0,23.46,Maintain
43,188,62.2,17.6,Muscle Gain
45,179,56.6,17.68,Muscle Gain
37,175,58.7,19.16,Maintain
53,159,58.6,23.17,Maintain
44,184,66.0,19.48,Maintain
53,165,49.4,18.15,Muscle Gain
46,151,41.2,18.06,Muscle Gain
21,159,54.8,21.69,Maintain
40,183,55.6,16.59,Muscle Gain
23,169,46.2,16.18,Muscle Gain
19,180,57.6,17.78,Muscle Gain
52,183,82.6,24.66,Maintain
55,175,54.7,17.85,Muscle Gain
39,177,62.8,20.05,Maintain
60,179,51.8,16.17,Muscle Gain
49,171,68.0,23.25,Maintain
25,171,47.8,16.33,Muscle Gain
52,164,75.8,28.19,Weight Loss
20,187,60.6,17.34,Muscle Gain
25,189,93.6,26.19,Weight Loss
37,186,80.4,23.25,Maintain
52,166,56.3,20.44,Maintain
20,168,46.9,16.62,Muscle Gain
34,151,41.3,18.12,Muscle Gain
34,189,94.6,26.48,Weight Loss
18,180,54.0,16.66,Muscle Gain
28,166,54.1,19.64,Maintain
25,170,79.2,27.41,Weight Loss
21,157,75.4,30.57,Weight Loss
57,176,60.0,19.37,Maintain
52,171,65.9,22.55,Maintain
58,162,45.8,17.46,Muscle Gain
46,161,67.0,25.86,Weight Loss
57,181,59.3,18.1,Muscle Gain
19,182,53.2,16.05,Muscle Gain
56,185,62.3,18.2,Muscle Gain
41,185,104.8,30.62,Weight Loss
21,175,68.8,22.45,Maintain
27,152,64.3,27.82,Weight Loss
47,161,58.2,22.47,Maintain
44,179,58.4,18.22,Muscle Gain
33,180,55.8,17.21,Muscle Gain
52,186,55.6,16.08,Muscle Gain
53,159,41.2,16.31,Muscle Gain
57,176,76.9,24.84,Maintain
29,168,69.0,24.46,Maintain
34,176,74.6,24.07,Maintain
40,186,61.7,17.82,Muscle Gain
28,167,47.1,16.88,Muscle Gain
54,185,66.1,19.31,Maintain
28,168,52.9,18.75,Maintain
27,171,87.6,29.95,Weight Loss
26,171,66.1,22.61,Maintain
46,152,64.6,27.94,Weight Loss
22,170,58.6,20.27,Maintain
49,164,78.7,29.27,Weight Loss
35,175,69.7,22.75,Maintain
59,160,46.7,18.25,Muscle Gain
26,165,85.1,31.26,Weight Loss
37,182,59.0,17.81,Muscle Gain
42,166,48.6,17.65,Muscle Gain
34,180,63.1,19.48,Maintain
39,163,43.9,16.53,Muscle Gain
57,182,94.1,28.41,Weight Loss
33,190,109.1,30.22,Weight Loss
27,189,104.5,29.26,Weight Loss
35,156,50.5,20.77,Maintain
31,151,52.2,22.9,Maintain
30,160,51.8,20.24,Maintain
20,178,56.0,17.69,Muscle Gain
32,179,87.2,27.2,Weight Loss
44,175,83.2,27.18,Weight Loss
57,189,61.9,17.33,Muscle Gain
27,159,74.5,29.46,Weight Loss
59,162,57.2,21.8,Maintain
57,190,109.3,30.27,Weight Loss
59,154,70.0,29.51,Weight Loss
46,180,59.5,18.36,Muscle Gain
42,169,73.2,25.64,Weight Loss
27,170,48.1,16.63,Muscle Gain
41,173,91.8,30.66,Weight Loss
